name,No Data Processing,No Data Processing,No Data Processing,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA,Using Normalisation,Using Normalisation,Using Normalisation,Using PCA,Using PCA,Using PCA,Using Transform,Using Transform,Using Transform
cluster_size,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5
Silhouette,0.5821999907493591,0.5867999792098999,0.4440999925136566,0.36320000886917114,0.3840000033378601,0.3237999975681305,0.36320000886917114,0.3005000054836273,0.3237999975681305,0.36719998717308044,0.39100000262260437,0.33180001378059387,0.5821999907493591,0.5878999829292297,0.4472000002861023,0.5914000272750854,0.5878000259399414,0.5322999954223633
Calinski-Harabasz,134.998,121.4059,121.8531,70.2484,63.1173,63.1868,70.2485,63.5405,63.1868,58.288,60.0609,60.8193,134.998,122.1988,122.9427,260.0455,352.844,502.4628
Davies-Bouldin,0.9234,0.8475,0.8336,1.3286,1.2063,1.1086,1.3286,1.2135,1.1086,1.3602,1.0722,1.0509,0.9234,0.893,0.9544,0.594,0.5556,0.4913
