name,No Data Processing,No Data Processing,No Data Processing,T+N,T+N,T+N,T+N+PCA,T+N+PCA,T+N+PCA,Using Normalisation,Using Normalisation,Using Normalisation,Using PCA,Using PCA,Using PCA,Using Transform,Using Transform,Using Transform
cluster_size,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5,3,4,5
Silhouette,0.5838000178337097,0.5888000130653381,0.45809999108314514,0.36489999294281006,0.38429999351501465,0.30979999899864197,0.36489999294281006,0.38429999351501465,0.30979999899864197,0.4521999955177307,0.4523000121116638,0.2590000033378601,0.5838000178337097,0.5888000130653381,0.45809999108314514,0.59170001745224,0.6018999814987183,0.5364999771118164
Calinski-Harabasz,124.8313,116.568,115.5131,65.4346,59.2821,58.067,65.4347,59.2821,58.0671,50.0525,51.9503,52.9722,124.8314,116.5681,115.5133,255.2729,351.0101,441.6707
Davies-Bouldin,0.9799,0.8574,0.9688,1.381,1.2471,1.1962,1.381,1.2471,1.1962,1.1644,0.8431,1.0782,0.9799,0.8574,0.9688,0.5028,0.4255,0.471
